id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_balita_stunting,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,9.04,PERSEN,2014
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.21,PERSEN,2014
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14.33,PERSEN,2014
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,17.14,PERSEN,2014
5,32,JAWA BARAT,3205,KABUPATEN GARUT,7.12,PERSEN,2014
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,23.8,PERSEN,2014
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5.12,PERSEN,2014
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.52,PERSEN,2014
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,12.94,PERSEN,2014
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10.43,PERSEN,2014
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,PERSEN,2014
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,PERSEN,2014
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,3.55,PERSEN,2014
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8.0,PERSEN,2014
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,13.79,PERSEN,2014
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,10.2,PERSEN,2014
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16.36,PERSEN,2014
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.63,PERSEN,2014
19,32,JAWA BARAT,3271,KOTA BOGOR,11.78,PERSEN,2014
20,32,JAWA BARAT,3272,KOTA SUKABUMI,8.68,PERSEN,2014
21,32,JAWA BARAT,3273,KOTA BANDUNG,11.34,PERSEN,2014
22,32,JAWA BARAT,3274,KOTA CIREBON,13.63,PERSEN,2014
23,32,JAWA BARAT,3275,KOTA BEKASI,8.43,PERSEN,2014
24,32,JAWA BARAT,3276,KOTA DEPOK,17.47,PERSEN,2014
25,32,JAWA BARAT,3277,KOTA CIMAHI,13.19,PERSEN,2014
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6.78,PERSEN,2014
27,32,JAWA BARAT,3279,KOTA BANJAR,3.17,PERSEN,2014
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,7.38,PERSEN,2015
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9.72,PERSEN,2015
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14.94,PERSEN,2015
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.34,PERSEN,2015
32,32,JAWA BARAT,3205,KABUPATEN GARUT,7.67,PERSEN,2015
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16.75,PERSEN,2015
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2.83,PERSEN,2015
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.87,PERSEN,2015
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,12.56,PERSEN,2015
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.33,PERSEN,2015
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15.27,PERSEN,2015
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,21.44,PERSEN,2015
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,2.56,PERSEN,2015
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10.18,PERSEN,2015
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,14.09,PERSEN,2015
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,8.93,PERSEN,2015
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.56,PERSEN,2015
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8.61,PERSEN,2015
46,32,JAWA BARAT,3271,KOTA BOGOR,10.37,PERSEN,2015
47,32,JAWA BARAT,3272,KOTA SUKABUMI,8.96,PERSEN,2015
48,32,JAWA BARAT,3273,KOTA BANDUNG,12.83,PERSEN,2015
49,32,JAWA BARAT,3274,KOTA CIREBON,11.64,PERSEN,2015
50,32,JAWA BARAT,3275,KOTA BEKASI,7.39,PERSEN,2015
51,32,JAWA BARAT,3276,KOTA DEPOK,17.35,PERSEN,2015
52,32,JAWA BARAT,3277,KOTA CIMAHI,15.81,PERSEN,2015
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6.77,PERSEN,2015
54,32,JAWA BARAT,3279,KOTA BANJAR,4.56,PERSEN,2015
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,6.87,PERSEN,2016
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,13.42,PERSEN,2016
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,13.42,PERSEN,2016
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7.52,PERSEN,2016
59,32,JAWA BARAT,3205,KABUPATEN GARUT,6.81,PERSEN,2016
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15.75,PERSEN,2016
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10.4,PERSEN,2016
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8.34,PERSEN,2016
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,13.42,PERSEN,2016
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3.38,PERSEN,2016
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11.64,PERSEN,2016
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,23.49,PERSEN,2016
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,4.97,PERSEN,2016
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9.94,PERSEN,2016
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,13.82,PERSEN,2016
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,5.4,PERSEN,2016
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.92,PERSEN,2016
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5.11,PERSEN,2016
73,32,JAWA BARAT,3271,KOTA BOGOR,7.58,PERSEN,2016
74,32,JAWA BARAT,3272,KOTA SUKABUMI,10.57,PERSEN,2016
75,32,JAWA BARAT,3273,KOTA BANDUNG,6.43,PERSEN,2016
76,32,JAWA BARAT,3274,KOTA CIREBON,12.43,PERSEN,2016
77,32,JAWA BARAT,3275,KOTA BEKASI,11.06,PERSEN,2016
78,32,JAWA BARAT,3276,KOTA DEPOK,7.01,PERSEN,2016
79,32,JAWA BARAT,3277,KOTA CIMAHI,14.18,PERSEN,2016
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14.01,PERSEN,2016
81,32,JAWA BARAT,3279,KOTA BANJAR,8.67,PERSEN,2016
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,5.38,PERSEN,2017
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.93,PERSEN,2017
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,13.92,PERSEN,2017
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9.62,PERSEN,2017
86,32,JAWA BARAT,3205,KABUPATEN GARUT,12.65,PERSEN,2017
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15.26,PERSEN,2017
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8.55,PERSEN,2017
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6.4,PERSEN,2017
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.12,PERSEN,2017
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2.51,PERSEN,2017
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11.25,PERSEN,2017
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,23.06,PERSEN,2017
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,4.93,PERSEN,2017
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9.39,PERSEN,2017
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,14.18,PERSEN,2017
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,4.25,PERSEN,2017
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8.0,PERSEN,2017
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3.79,PERSEN,2017
100,32,JAWA BARAT,3271,KOTA BOGOR,6.59,PERSEN,2017
101,32,JAWA BARAT,3272,KOTA SUKABUMI,8.98,PERSEN,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,1.99,PERSEN,2017
103,32,JAWA BARAT,3274,KOTA CIREBON,13.69,PERSEN,2017
104,32,JAWA BARAT,3275,KOTA BEKASI,11.43,PERSEN,2017
105,32,JAWA BARAT,3276,KOTA DEPOK,5.94,PERSEN,2017
106,32,JAWA BARAT,3277,KOTA CIMAHI,14.54,PERSEN,2017
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.12,PERSEN,2017
108,32,JAWA BARAT,3279,KOTA BANJAR,7.96,PERSEN,2017
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1.08,PERSEN,2018
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5.32,PERSEN,2018
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.57,PERSEN,2018
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7.91,PERSEN,2018
113,32,JAWA BARAT,3205,KABUPATEN GARUT,12.07,PERSEN,2018
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15.71,PERSEN,2018
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6.47,PERSEN,2018
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8.19,PERSEN,2018
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,10.29,PERSEN,2018
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2.22,PERSEN,2018
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9.95,PERSEN,2018
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,20.51,PERSEN,2018
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,3.26,PERSEN,2018
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.82,PERSEN,2018
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,18.75,PERSEN,2018
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,4.77,PERSEN,2018
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6.94,PERSEN,2018
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6.47,PERSEN,2018
127,32,JAWA BARAT,3271,KOTA BOGOR,4.8,PERSEN,2018
128,32,JAWA BARAT,3272,KOTA SUKABUMI,12.13,PERSEN,2018
129,32,JAWA BARAT,3273,KOTA BANDUNG,7.56,PERSEN,2018
130,32,JAWA BARAT,3274,KOTA CIREBON,10.1,PERSEN,2018
131,32,JAWA BARAT,3275,KOTA BEKASI,18.18,PERSEN,2018
132,32,JAWA BARAT,3276,KOTA DEPOK,5.41,PERSEN,2018
133,32,JAWA BARAT,3277,KOTA CIMAHI,9.75,PERSEN,2018
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10.79,PERSEN,2018
